Category,category image name,Level,Filename,English,fr,nl,de,it,es,ru,ko,zh-CN,ja
animals,CategoryAnimals.png,2,bird.jpg,bird,oiseau,vogel,Vogel,uccello,pájaro,птица,새,鸟,鳥
animals,CategoryAnimals.png,2,cat.jpg,cat,chat,kat,Katze,gatto,gato,кошка ,고양이,猫,ネコ
animals,CategoryAnimals.png,2,deer.jpg,deer,cerf,hert,Reh,cervo,ciervo,олень,사슴,鹿,鹿
animals,CategoryAnimals.png,2,dog.jpg,dog,chien,hond,Hund,cane,perro,собака,개,狗,犬
animals,CategoryAnimals.png,2,duck.jpg,duck,canard,eend,Ente,anatra,pato,утка,오리,鸭,アヒル
animals,CategoryAnimals.png,2,goat.jpg,goat,chèvre,geit,Ziege,capra,cabra,козел,염소,山羊,ヤギ
animals,CategoryAnimals.png,2,horse.jpg,horse,cheval,paard,Pferd,cavallo,caballo,лошадь,말,马,うま
animals,CategoryAnimals.png,2,monkey.jpg,monkey,singe,aap,Affe,scimmia,mono,обезьяна,원숭이,猴子,サル
animals,CategoryAnimals.png,2,mouse.jpg,mouse,souris,muis,Maus,topo,ratón,мышь,쥐,老鼠,鼠
animals,CategoryAnimals.png,2,sheep.jpg,sheep,mouton,schaap,Schaf,pecora,oveja,овца,양,绵羊,羊
animals,CategoryAnimals.png,2,squirrel.jpg,squirrel,écureuil,eekhoorn,Eichhörnchen,scoiattolo,ardilla,белка,다람쥐,松鼠,リス
animals,CategoryAnimals.png,2,tiger.jpg,tiger,tigre,tijger,Tiger,tigre,tigre,тигр,호랑이,虎,虎
everyday objects,CategoryObjects.png,1,basket.jpg,basket,panier,mand,Korb,paniere,cesta,корзина,바구니,篮子,バスケット
everyday objects,CategoryObjects.png,1,bin.jpg,bin,poubelle,prullenbak,Mülleimer,cestino,bote de basura,мусорное ведро,쓰레기통,垃圾桶,ごみ箱
everyday objects,CategoryObjects.png,1,book.jpg,book,livre,boek,Buch,libro,libro,книга,책,书,本
everyday objects,CategoryObjects.png,1,bottle.jpg,bottle,bouteille,fles,Flasche,bottiglia,botella,бутылка,병,瓶子,瓶
everyday objects,CategoryObjects.png,1,bowl.jpg,bowl,bol,kom,Schüssel,ciotola,cuenco,миска, 사발,碗,ボウル
everyday objects,CategoryObjects.png,1,clock.jpg,clock,horloge,klok,Uhr,orologio,reloj,Часы,시계,时钟,時計
everyday objects,CategoryObjects.png,1,cup.jpg,cup,tasse,kop,Tasse,tazza,taza,кружка,컵,杯,コップ
in the home,CategoryInHome.png,3,duvet.jpg,duvet,couette,dekbed,Daunendecke,piumone,edredón,одеяло,이불,被子,羽毛布団
everyday objects,CategoryObjects.png,1,fire.jpg,fire,incendie,brand,Feuer,fuoco,fuego,Огонь,화재,火,火
everyday objects,CategoryObjects.png,1,flowers.jpg,flowers,fleurs,bloemen,Blumen,fiori,flores,цветы,꽃,花卉,花
everyday objects,CategoryObjects.png,1,fork.jpg,fork,fourchette,vork,Gabel,forchetta,tenedor,вилка,포크,叉子,フォーク
everyday objects,CategoryObjects.png,1,glass.jpg,glass,verre,glas,Glas,bicchiere,vaso,стакан,유리잔,玻璃杯,ガラス
everyday objects,CategoryObjects.png,1,grass.jpg,grass,herbe,gras,Gras,erba,césped,трава,잔디,草,草
everyday objects,CategoryObjects.png,1,knife.jpg,knife,couteau,mes,Messer,coltello,cuchillo,нож,칼,刀,ナイフ
everyday objects,CategoryObjects.png,1,magazine.jpg,magazine,magazine,tijdschrift,Magazin,rivista,revista,журнал,잡지,杂志,雑誌
everyday objects,CategoryObjects.png,1,map.jpg,map,carte,kaart,Karte,mappa,mapa,карта,지도,地图,地図
everyday objects,CategoryObjects.png,1,moon.jpg,moon,lune,maan,Mond,luna,luna,луна,달,月亮,月
everyday objects,CategoryObjects.png,1,newspaper.jpg,newspaper,journal,krant,Zeitung,giornale,periódico,газета,신문,报纸,新聞
everyday objects,CategoryObjects.png,1,painting.jpg,painting,peinture,schilderij,Gemälde,pittura,cuadro,картина,그림,绘画,絵画
everyday objects,CategoryObjects.png,1,paper.jpg,paper,papier,papier,Papier,carta,papel,бумага,종이,纸,紙
everyday objects,CategoryObjects.png,1,phone.jpg,phone,téléphone,telefoon,Telefon,telefono,teléfono,Телефон,전화,电话,電話
everyday objects,CategoryObjects.png,1,photo.jpg,photograph,photo,foto,Foto,fotografia,fotografía,фотография,사진,照片,写真
everyday objects,CategoryObjects.png,1,plate.jpg,plate,assiette,bord,Teller,piatto,plato,тарелка ,접시,餐盘,皿
everyday objects,CategoryObjects.png,1,radio.jpg,radio,radio,radio,Radio,radio,radio,радио,라디오,收音机,ラジオ
everyday objects,CategoryObjects.png,1,scissors.jpg,scissors,ciseaux,schaar,Schere,forbici,tijeras,ножницы,가위,剪刀,はさみ
everyday objects,CategoryObjects.png,1,money.jpg,money,argent,geld,geld,soldi,dinero,Деньги,돈,钱,お金
everyday objects,CategoryObjects.png,1,soap.jpg,soap,savon,zeep,Seife,sapone,jabón,мыло,비누,肥皂,せっけん
everyday objects,CategoryObjects.png,1,spoon.jpg,spoon,cuillère,lepel,Löffel,cucchiaio,cuchara,ложка,숟가락,勺子,スプーン
everyday objects,CategoryObjects.png,1,star.jpg,star,étoile,ster,Stern,stella,estrella,звезда,별,星星,星
everyday objects,CategoryObjects.png,1,towel.jpg,towel,serviette,handdoek,Handtuch,asciugamano,toalla,полотенце,수건,毛巾,タオル
everyday objects,CategoryObjects.png,1,tree.jpg,tree,arbre,boom,Baum,albero,árbol,дерево,나무,树,木
everyday objects,CategoryObjects.png,1,waste.jpg,rubbish,ordures,vuilnis,Müll,spazzatura,basura,мусор,쓰레기,垃圾,ごみ
food,CategoryFood.png,5,apple.jpg,apple,pomme,appel,Apfel,mela,manzana,яблоко,사과,苹果,林檎
food,CategoryFood.png,5,banana.jpg,banana,banane,banaan,Banane,banana,plátano,банан,바나나,香蕉,バナナ
food,CategoryFood.png,5,beef.jpg,beef,bœuf,rundvlees,Rindfleisch,manzo,carne de vaca,говядина,쇠고기,牛肉,牛肉
food,CategoryFood.png,5,beer.jpg,beer,bière,bier,Bier,birra,cerveza,пиво,맥주,啤酒,ビール
food,CategoryFood.png,5,beverage.jpg,beverage,boisson,drank,Getränk,bevanda,bebida,напиток,음료,饮料,飲料
food,CategoryFood.png,5,boiledegg.jpg,boiled egg,oeuf à la coque,gekookt ei,gekochtes Ei,uovo sodo,huevo duro,вареное яйцо,삶은 달걓,煮鸡蛋,ゆでたまご
food,CategoryFood.png,5,bread.jpg,bread,pain,brood,Brot,pane,pan,хлеб,빵,面包,パン
food,CategoryFood.png,5,breakfast.jpg,breakfast,petit-déjeuner,ontbijt,Frühstück,colazione,desayuno,завтрак,아침 식사,早餐,朝食
food,CategoryFood.png,5,butter.jpg,butter,beurre,boter,Butter,burro,mantequilla,масло,버터,黄油,バター
food,CategoryFood.png,5,cake.jpg,cake,gâteau,taart,Kuchen,torta,pastel,кекс,케이크,蛋糕,ケーキ
food,CategoryFood.png,5,carrot.jpg,carrot,carotte,wortel,Karotte,carota,zanahoria,морковь,당근,胡萝卜,ニンジン
food,CategoryFood.png,5,cheese.jpg,cheese,fromage,kaas,Käse,formaggio,queso,сыр,치즈,奶酪,チーズ
food,CategoryFood.png,5,chicken.jpg,chicken,poulet,kip,Huhn,pollo,pollo,курица,닭고기,鸡,鶏肉
food,CategoryFood.png,5,chocolate.jpg,chocolate,chocolat,chocolade,Schokolade,cioccolato,chocolate,шоколад,초콜렛,巧克力,チョコレート
food,CategoryFood.png,5,coffee.jpg,coffee,café,koffie,Kaffee,caffè,café,кофе,커피,咖啡,コー​​​​ヒー
food,CategoryFood.png,5,courgette.jpg,courgette,courgette,courgette,Zucchini,zucchine,calabacín,кабачок,애호박,小胡瓜,ズッキーニ
food,CategoryFood.png,5,crisps.jpg,crisps,chips,chips,Chips,patatine,papas fritas,чипсы,포테이토 칩,薯片,ポテトチップス
food,CategoryFood.png,5,cucumber.jpg,cucumber,concombre,komkommer,Gurke,cetriolo,pepino,огурец,오이,黄瓜,キュウリ
food,CategoryFood.png,5,dinner.jpg,dinner,dîner,avondeten,Abendessen,cena,cena,ужин,저녁 식사,晚餐,夕食
food,CategoryFood.png,5,drinkingwater.jpg,drinking water,eau potable,drinkbaar water,Trinkwasser,acqua potabile,agua potable,питьевая вода,식수,饮用水,飲料水
food,CategoryFood.png,5,egg.jpg,egg,œuf,ei,Ei,uovo,huevo,яйцо,달걀,鸡蛋,卵
food,CategoryFood.png,5,fish.jpg,fish,poisson,vis,Fisch,pesce,pescado,рыба,생선,鱼,魚
food,CategoryFood.png,5,food.jpg,food,nourriture,eten,Lebensmittel,cibo,comida,еда,음식,食品,食品
food,CategoryFood.png,5,friedegg.jpg,fried egg,oeuf sur le plat,gebakken ei,Spiegelei,uovo fritto,huevo frito,жаренное яйцо,계란후라이,煎鸡蛋,目玉焼き
food,CategoryFood.png,5,fries.jpg,French fries,frites,frietjes,Pommes Frittes,patate fritte,patatas fritas,фри,감자 튀김,薯条,フライドポテト
food,CategoryFood.png,5,garlic.jpg,garlic,ail,knoflook,Knoblauch,aglio,ajo,чеснок,마늘,大蒜,ニンニク
food,CategoryFood.png,5,ice.jpg,ice,glace,ijs,Eis,ghiaccio,hielo,лед,얼음,冰,氷
food,CategoryFood.png,5,icecream.jpg,ice cream,crème glacée,ijsje,Speiseeis,gelato,helado,мороженное,아이스크림,冰淇淋,アイスクリーム
food,CategoryFood.png,5,jam.jpg,jam,confiture,jam,Marmelade,marmellata,mermelada,варенье,쨈,果酱,ジャム
food,CategoryFood.png,5,lunch.jpg,lunch,déjeuner,lunch,Mittagessen,pranzo,almuerzo,обед,점심식사,午餐,昼食
food,CategoryFood.png,5,meat.jpg,meat,viande,vlees,Fleisch,carne,carne,мясо,육류,肉,肉
food,CategoryFood.png,5,milk.jpg,milk,lait,melk,Milch,latte,leche,молоко,우유,牛奶,ミルク
food,CategoryFood.png,5,omlette.jpg,omelet,omelette,omelette,Omelette,frittata,tortilla,Омлет,오믈렛,鸡蛋饼,オムレツ
food,CategoryFood.png,5,onion.jpg,onion,oignon,ui,Zwiebel,cipolla,cebolla,лук,양파,洋葱,タマネギ
food,CategoryFood.png,5,orange.jpg,orange,orange,sinaasappel,Orange,arancia,naranja,апельсин,오렌지,橙,オレンジ
food,CategoryFood.png,5,orangejuice.jpg,orange juice,du jus d'orange,sinaasappelsap,Orangensaft,succo d'arancia,zumo de naranja,апельсиновый сок,오렌지 주스,橙汁,オレンジジュース
food,CategoryFood.png,5,pear.jpg,pear,poire,peer,Birne,pera,pera,груша,배,梨,梨
food,CategoryFood.png,5,pork.jpg,pork,viande de porc,varkensvlees,Schweinefleisch,maiale,carne de cerdo,свинина,돼지고기,猪肉,豚肉
food,CategoryFood.png,5,potato.jpg,potato,pomme de terre,aardappel,Kartoffel,patata,patata,картофель,감자,土豆,ジャガイモ
food,CategoryFood.png,5,rice.jpg,rice,riz,rijst,Reis,riso,arroz,рис,밥,饭,ご飯
food,CategoryFood.png,5,salt.jpg,salt,sel,zout,Salz,sale,sal,соль,소금,盐,塩
food,CategoryFood.png,5,scrambledegg.jpg,scrambled egg,œufs brouillés,roerei,Rührei,uova strapazzate,huevos revueltos,яичница,계란볶음,炒鸡蛋,いり卵
food,CategoryFood.png,5,soup.jpg,soup,soupe,soep,Suppe,zuppa,sopa,суп,국,汤,スープ
food,CategoryFood.png,5,spaghetti.jpg,spaghetti,spaghetti,spaghetti,Spaghetti,spaghetti,espaguetis,спагетти,스파게티,意大利面条,スパゲッティ
food,CategoryFood.png,5,strawberry.jpg,strawberry,fraise,aardbei,Erdbeere,fragola,fresa,клубника,딸기,草莓,イチゴ
food,CategoryFood.png,5,sugar.jpg,sugar,sucre,suiker,Zucker,zucchero,azúcar,сахар,설탕,糖,砂糖
food,CategoryFood.png,5,tea.jpg,tea,thé,thee,Tee,tè,té,чай,차,茶,茶
food,CategoryFood.png,5,toast.jpg,toast,pain grillé,toast,Toast,brindisi,brindis,тост,토스트,烤面包,トースト
food,CategoryFood.png,5,tomato.jpg,tomato,tomate,tomaat,Tomate,pomodoro,tomate,помидор,토마토,番茄,トマト
food,CategoryFood.png,5,wine.jpg,wine,du vin,wijn,Wein,vino,vino,вино,와인,葡萄酒,ワイン
everyday objects,CategoryObjects.png,1,bag.jpg,bag,sac,zak,Tasche,borsa,bolso,мешок,가방,包,バッグ
personal belongings,CategoryPersonal.png,3,camera.jpg,camera,appareil photo,camera,Kamera,macchina fotografica,cámara,фотоаппарат ,카메라,相机,カメラ
personal belongings,CategoryPersonal.png,3,coat.jpg,coat,manteau,jas,Mantel,cappotto,abrigo,Пальто,코트,大衣,コー​​ト
personal belongings,CategoryPersonal.png,3,computer.jpg,computer,l'ordinateur,computer,Computer,computer,computadora,компьютер,컴퓨터,计算机,コンピューター
personal belongings,CategoryPersonal.png,3,doll.jpg,doll,poupée,pop,Puppe,bambola,muñeca,кукла,인형,娃娃,人形
personal belongings,CategoryPersonal.png,3,dress.jpg,dress,robe,jurk,Kleid,vestito,vestido,платье,드레스,连衣裙,ワンピース
personal belongings,CategoryPersonal.png,3,hat.jpg,hat,chapeau,hoed,Hut,cappello,sombrero,шапка,모자,帽子,帽子
personal belongings,CategoryPersonal.png,3,jacket.jpg,jacket,petite veste,jasje,Jacke,giacca,chaqueta,куртка,재킷,夹克,上着
personal belongings,CategoryPersonal.png,3,keys.jpg,keys,clés,sleutels,Schlüssel,chiavi,llaves,ключи,열쇠,钥匙,キー
personal belongings,CategoryPersonal.png,3,laptop.jpg,laptop,ordinateur portable,laptop,Laptop,computer portatile,computadora portátil,ноутбук,랩톱,笔记本电脑,ノートパソコン
personal belongings,CategoryPersonal.png,3,mobilephone.jpg,mobile phone,téléphone portable,mobiele telefoon,Handy,cellulare,celular,мобильный телефон,휴대전화,手机,携帯電話
personal belongings,CategoryPersonal.png,3,pen.jpg,pen,stylo,pen,Stift,penna,bolígrafo,ручка,펜,笔,ペン
personal belongings,CategoryPersonal.png,3,pencil.jpg,pencil,crayon,potlood,Bleistift,matita,lápiz,карандаш,연필,铅笔,鉛筆
personal belongings,CategoryPersonal.png,3,shoes.jpg,shoes,chaussures,schoenen,Schuhe,scarpe,zapatos,обувь,신발,鞋,靴
personal belongings,CategoryPersonal.png,3,socks.jpg,socks,chaussettes,sokken,Socken,calze,calcetines,носки,양말,袜子,ソックス
personal belongings,CategoryPersonal.png,3,trousers.jpg,trousers,pantalon,broek,Hose,pantaloni,pantalones,брюки,바지,裤子,ズボン
personal belongings,CategoryPersonal.png,3,tshirt.jpg,t shirt,t-shirt,t-shirt,T-Shirt,maglietta,camiseta,Футболка,티셔츠,T恤,Tシャツ
personal belongings,CategoryPersonal.png,3,underwear.jpg,underwear,sous-vêtements,ondergoed,Unterwäsche,biancheria intima,ropa interior,нижнее белье,속옷,内衣,下着
personal belongings,CategoryPersonal.png,3,watch.jpg,watch,montre,horloge,Armbanduhr,orologio da polso,reloj de pulsera,наручные часы,손목시계,手表,腕時計
verbs,CategoryVerbs.png,0,ask.jpg,to ask,demander,vragen,fragen,chiedere,preguntar,спрашивать,묻다,问,聞く
verbs,CategoryVerbs.png,0,catchimage.jpg,to catch,attraper,vangen,fangen,catturare,atrapar,ловить,잡다,去抓,捕まえる
verbs,CategoryVerbs.png,0,cooking.jpg,to cook,cuisiner,koken,kochen,cucinare,cocinar,готовить,요리하다,做饭,料理する
verbs,CategoryVerbs.png,0,dancing.jpg,to dance,danser,dansen,tanzen,ballare,bailar,танцевать,춤추다,跳舞,踊る
verbs,CategoryVerbs.png,0,drinking.jpg,to drink,boire,drinken,trinken,bere,beber,пить,마시다,喝,飲む
verbs,CategoryVerbs.png,0,eat.jpg,to eat,manger,eten,essen,mangiare,comer,кушать,먹다,吃,食べる
verbs,CategoryVerbs.png,0,give.jpg,to give,donner,geven,geben,dare,dar,давать,주다,给,与える
verbs,CategoryVerbs.png,0,jump.jpg,to jump,sauter,springen,springen,saltare,saltar,прыгать,점프하다,跳,飛ぶ
verbs,CategoryVerbs.png,0,kiss.jpg,to kiss,embrasser,kussen,küssen,baciare,besar,целовать,키스하다,亲吻,キスする
verbs,CategoryVerbs.png,0,know.jpg,to know,savoir,weten,wissen,sapere,saber,знать,알다,要知道,知る
verbs,CategoryVerbs.png,0,pray.jpg,to pray,prier,bidden,beten,pregare,orar,молиться,기도하다,祈祷,祈る
verbs,CategoryVerbs.png,0,pull.jpg,to pull,tirer,trekken,ziehen,tirare,tirar,тянуть,당기다,拉,引っ張る
verbs,CategoryVerbs.png,0,push.jpg,to push,pousser,duwen,drücken,spingere,empujar,толкать,밀다,推,押す
verbs,CategoryVerbs.png,0,run.jpg,to run,courir,rennen,rennen,correre,correr,бежать,달리다,跑步,走らせる
verbs,CategoryVerbs.png,0,say.jpg,to say,dire,zeggen,sagen,dire,decir,сказать,말하다,说,言う
verbs,CategoryVerbs.png,0,see.jpg,to look,regarder,kijken,schauen,guardare,mirar,смотреть,쳐다보다,看看,見る
verbs,CategoryVerbs.png,0,singing.jpg,to sing,chanter,zingen,singen,cantare,cantar,петь,노래하다,唱歌,歌う
verbs,CategoryVerbs.png,0,sit.jpg,to sit,s'asseoir,zitten,sitzen,sedersi,sentar,сидеть,앉다,坐,座る
verbs,CategoryVerbs.png,0,sleeping.jpg,to sleep,dormir,slapen,schlafen,dormire,dormir,спать,자다,睡觉,眠る
verbs,CategoryVerbs.png,0,stop.jpg,stop,stop,stop,Stopp,stop,deténgase,Стоп,스톱,停止,止まる
verbs,CategoryVerbs.png,0,take.jpg,to take,prendre,nemen,nehmen,prendere,tomar,брать,가져가다,取,取る
verbs,CategoryVerbs.png,0,think.jpg,to think,penser,denken,denken,pensare,pensar,думать,생각하다,想,考える
verbs,CategoryVerbs.png,0,throwimage.jpg,to throw,jeter,gooien,werfen,gettare,lanzar,бросать,던지다,扔,投げる
verbs,CategoryVerbs.png,0,touch.jpg,to touch,toucher,aanraken,berühren,toccare,tocar,трогать,만지다,触摸,触る
verbs,CategoryVerbs.png,0,walk.jpg,to walk,marcher,wandelen,gehen,camminare,caminar,гулять,걷다,行走,歩く
verbs,CategoryVerbs.png,0,want.jpg,to want,vouloir,willen,wollen,volere,querer,Хотеть,원하다,想要,～したい
verbs,CategoryVerbs.png,0,washing.jpg,to wash,laver,wassen,waschen,lavare,lavar,мыть,씻다,洗,洗う
verbs,CategoryVerbs.png,0,watching.jpg,to watch,regarder,kijken,ansehen,guardare,mirar,смотреть,보다,观看,観る
verbs,CategoryVerbs.png,0,work.jpg,to work,travailler,werken,arbeiten,lavorare,trabajar,работать,일할다,上班,働く
describing things,CategoryAdj.png,7,big.jpg,big,grand,groot,groß,grande,grande,большой,큰,大,大きい
describing things,CategoryAdj.png,7,cheap.jpg,cheap,bon marché,goedkoop,billig,a buon mercato,barato,дешево,싼,便宜,安い
describing things,CategoryAdj.png,7,clean.jpg,clean,propre,schoon,sauber,pulito,limpio,чистый,깨끗한,清洁,きれい
describing things,CategoryAdj.png,7,closed.jpg,closed,fermé,gesloten,geschlossen,chiuso,cerrado,закрыто,닫힌,关闭,閉まっている
describing things,CategoryAdj.png,7,cloudy.jpg,cloudy,nuageux,bewolkt,bewölkt,nuvoloso,nublado,облачно ,흐린,多云,曇り
describing things,CategoryAdj.png,7,cold.jpg,cold,froid,koud,kalt,freddo,frío,холодно,차가운,冷,冷たい
describing things,CategoryAdj.png,7,dark.jpg,dark,sombre,donker,dunkel,buio,oscuro,темно,어두운,黑暗,暗い
describing things,CategoryAdj.png,7,dirty.jpg,dirty,sale,vuil,schmutzig,sporco,sucio,грязный,더러운,脏,汚れた
describing things,CategoryAdj.png,7,down.jpg,down,vers le bas,naar beneden,nach unten,giù,abajo,вниз,아래쪽,向下,下がる
describing things,CategoryAdj.png,7,dry.jpg,dry,sec,droog,trocken,asciutto,seco,сухой,건조한,干燥的,乾いた
describing things,CategoryAdj.png,7,expensive.jpg,expensive,cher,duur,teuer,caro,caro,дорого,비싼,贵,高い
describing things,CategoryAdj.png,7,fast.jpg,fast,rapide,snel,schnell,veloce,rápido,быстро,빠른,快,早い
describing things,CategoryAdj.png,7,fat.jpg,fat,gros,dik,fett,grasso,gordo,толстый,뚱뚱한,胖,太った
describing things,CategoryAdj.png,7,here.jpg,here,Ici,hier,Hier,Qui,Aquí,сюда ,여기,这里,ここに
describing things,CategoryAdj.png,7,high.jpg,high,haut,hoog,hoch,alto,alto,высоко ,높은,高,高い
describing things,CategoryAdj.png,7,hot.jpg,hot,chaud,heet,heiß,molto caldo,caliente,жарко ,뜨거운,热,暑い
describing things,CategoryAdj.png,7,left.jpg,left,gauche,links,links,sinistra,izquierda,налево ,왼쪽,左,左
describing things,CategoryAdj.png,7,light.jpg,light,lumière,licht,hell,luce,claro,свет,밝은,光亮的,明るい
describing things,CategoryAdj.png,7,loud.jpg,loud,bruyant,luid,laut,ad alta voce,ruidoso,громкий,큰 소리로,响,音が大きい
describing things,CategoryAdj.png,7,low.jpg,low,faible,leeg,leer,scarica,baja,низкий,낮은,低,低
describing things,CategoryAdj.png,7,narrow.jpg,narrow,étroit,smal,eng,stretto,estrecho,узкий,폭이 좁은,窄,狭い
describing things,CategoryAdj.png,7,noisy.jpg,noisy,bruyant,luidruchtig,laut,rumoroso,ruidoso,шумный,시끄러운,吵闹,騒がしい
describing things,CategoryAdj.png,7,off.jpg,off,éteint,af,aus,spegnere,apagado,выключи ,꺼진,关闭,切
describing things,CategoryAdj.png,7,on.jpg,on,allumé,op,an,accendere,encendido,включи,켜진,开启,入
describing things,CategoryAdj.png,7,open.jpg,open,ouvert,open,offen,aperto,abierto,открытый,열린,打开,開いている
describing things,CategoryAdj.png,7,out.jpg,out,dehors,uit,aus,fuori,fuera,из ,밖에,出,の外に
describing things,CategoryAdj.png,7,poor.jpg,poor,pauvre,arm,arm,povero,pobre,бедный ,가난한,贫穷,貧しい
describing things,CategoryAdj.png,7,quiet.jpg,quiet,silencieux,rustig,ruhig,silenzioso,silencioso,тихо,조용한,安静,静かな
describing things,CategoryAdj.png,7,rainy.jpg,rainy,pluvieux,regenachtig,regnerisch,piovoso,lluvioso,дождливо ,비오는,多雨的,雨の
describing things,CategoryAdj.png,7,rich.jpg,wealthy,riche,vermogend,wohlhabend,ricco,rico,богатый,부유 한,富裕,裕福な
describing things,CategoryAdj.png,7,right.jpg,right,droite,rechts,rechts,destra,la derecha,направо ,오른쪽,向右边,右
describing things,CategoryAdj.png,7,rural.jpg,rural,rural,landelijk,ländlichen,rurale,rural,сельский,시골적인,乡村的,田舎
describing things,CategoryAdj.png,7,shortimage.jpg,short,court,kort,kurz,breve,corto,короткий ,짧은,短,短い
describing things,CategoryAdj.png,7,slow.jpg,slow,lent,traag,langsam,lento,lento,медленный,느린,慢,遅い
describing things,CategoryAdj.png,7,small.jpg,small,petit,klein,klein,piccolo,pequeña,маленький,작은,小,小さい
describing things,CategoryAdj.png,7,smelly.jpg,smelly,malodorant,stinkend,stinkend,puzzolente,maloliente,вонючий,냄새나는,臭,臭い
describing things,CategoryAdj.png,7,snowy.jpg,snowy,enneigé,besneeuwd,schneebedeckt,nevoso,Nevado,снежно,눈오는,多雪的,雪の
describing things,CategoryAdj.png,7,sour.jpg,sour,aigre,zuur,sauer,aspro,agrio,кислый,신,酸,酸っぱい
describing things,CategoryAdj.png,7,spicy.jpg,spicy,épicé,gekruid,würzig,piccante,picante,острый,매운,辣,スパイシーな
describing things,CategoryAdj.png,7,sunny.jpg,sunny,ensoleillé,zonnig,sonnig,soleggiato,soleado,солнечно,화창한,阳光明媚,晴れた
describing things,CategoryAdj.png,7,sweet.jpg,sweet,sucrée,zoet,süß,dolce,dulce,сладкое ,단,甜的,甘い
describing things,CategoryAdj.png,7,salty.jpg,salty,salé,zout,salzig,salato,salado,соленый,짠,咸,しょっぱい
describing things,CategoryAdj.png,7,tall.jpg,tall,grand,lang,hoch,alto,alto,высокий,키가 큰,高大,背が高い
describing things,CategoryAdj.png,7,there.jpg,there,Là,daar,dort,Là,ahi,Там,그곳,那里,そこに
describing things,CategoryAdj.png,7,thin.jpg,slim,mince,slank,schlank,magro,delgado,стройный,날씬한,苗条,細い
describing things,CategoryAdj.png,7,up.jpg,up,ascendant,omhoog,nach oben,su,arriba,вверх,위쪽,向上,上に
describing things,CategoryAdj.png,7,urban.jpg,urban,urbain,stedelijk,städtisch,urbano,urbano,городской,도시적인,城市的,都会
describing things,CategoryAdj.png,7,warm.jpg,warm,chaud,warm,warm,caldo,caliente,тепло,따뜻한,温暖,暖かい
describing things,CategoryAdj.png,7,wet.jpg,wet,humide,nat,nass,bagnato,mojado,мокро ,젖은,湿,濡れた
